date,vendor,amount,description,category
2024-01-15,Valvoline,89.50,Oil change truck 442,
2024-01-16,Home Depot,245.99,Hydraulic fittings and hoses,parts
2024-01-18,Shell,67.84,Fuel - service route,
2024-01-20,AutoZone,127.43,Brake pads and fluid,vehicle
2024-01-22,O'Reilly Auto,89.99,Air filter and oil,
2024-01-23,Grainger,189.75,Safety equipment and tools,
2024-01-25,Chevron,72.15,Diesel fuel,fuel
2024-01-26,Parker Hannifin,445.20,Hydraulic pump repair kit,parts
2024-01-28,Allstate,340.00,Commercial vehicle insurance,insurance
2024-01-30,City Hall,125.00,Business permit renewal,permits
2024-02-01,Napa Auto Parts,156.78,Starter motor,
2024-02-03,Mobile 1,98.45,Premium oil change,maintenance
2024-02-05,Gates Corporation,278.50,Hydraulic belts and seals,parts
2024-02-07,Exxon,81.25,Fuel stop,
2024-02-08,Harbor Freight,67.99,Tool replacement,
2024-02-10,John Deere,523.40,Hydraulic cylinder repair,equipment
2024-02-12,DOT Services,95.00,Vehicle inspection,permits
2024-02-14,Snap-on,234.50,Diagnostic equipment lease,
2024-02-16,Texaco,75.33,Fuel and supplies,
2024-02-18,Gates,189.25,Emergency hose replacement,parts
2024-02-20,Enterprise,145.00,Rental truck for big job,
2024-02-22,Safety-Kleen,67.50,Parts washer service,
2024-02-24,BP,69.88,Fuel,fuel
2024-02-26,Caterpillar,689.99,Hydraulic filter kit,parts
2024-02-28,Progressive,298.00,Equipment insurance,insurance